Country,Rank,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
Montenegro,0.57,0.54,0.49,0.55,0.67,0.82,0.48,0.54,0.48
Kosovo,0.56,0.56,0.49,0.57,0.61,0.84,0.47,0.49,0.47
Senegal,0.56,0.57,0.56,0.45,0.6,0.71,0.57,0.56,0.47
South Africa,0.56,0.61,0.46,0.61,0.63,0.6,0.51,0.57,0.49
Bulgaria,0.55,0.5,0.45,0.59,0.6,0.78,0.52,0.53,0.45
Jordan,0.55,0.48,0.59,0.39,0.46,0.76,0.57,0.61,0.56
Argentina,0.54,0.54,0.45,0.61,0.67,0.61,0.51,0.55,0.38
Ghana,0.54,0.66,0.38,0.51,0.57,0.71,0.52,0.55,0.45
Kazakhstan,0.54,0.46,0.49,0.48,0.46,0.8,0.53,0.62,0.46
North Macedonia,0.54,0.5,0.47,0.51,0.63,0.8,0.46,0.51,0.46
Moldova,0.53,0.52,0.37,0.57,0.61,0.82,0.46,0.49,0.43
Mongolia,0.53,0.53,0.42,0.49,0.56,0.76,0.48,0.54,0.48
Bosnia and Herzegovina,0.52,0.47,0.43,0.48,0.59,0.77,0.48,0.46,0.47
Indonesia,0.52,0.62,0.42,0.55,0.47,0.71,0.58,0.47,0.38
Malawi,0.52,0.57,0.42,0.46,0.57,0.68,0.47,0.56,0.43
Nepal,0.52,0.59,0.42,0.5,0.51,0.72,0.48,0.44,0.48
Panama,0.52,0.53,0.41,0.57,0.63,0.7,0.5,0.48,0.34
Sri Lanka,0.51,0.54,0.49,0.53,0.5,0.68,0.49,0.46,0.41
Trinidad and Tobago,0.51,0.54,0.48,0.53,0.58,0.64,0.48,0.54,0.3
Belize,0.5,0.48,0.45,0.45,0.53,0.71,0.42,0.53,0.4
Brazil,0.5,0.52,0.45,0.59,0.5,0.62,0.5,0.51,0.33
Guyana,0.5,0.53,0.45,0.44,0.55,0.63,0.47,0.53,0.4
Hungary,0.5,0.35,0.48,0.45,0.52,0.89,0.44,0.45,0.44
Thailand,0.5,0.47,0.45,0.48,0.49,0.75,0.45,0.5,0.42
Uzbekistan,0.5,0.37,0.47,0.37,0.43,0.9,0.45,0.52,0.46
Vietnam,0.5,0.45,0.43,0.43,0.47,0.78,0.45,0.47,0.48
Albania,0.49,0.43,0.38,0.48,0.57,0.77,0.43,0.46,0.41
Algeria,0.49,0.47,0.45,0.36,0.42,0.76,0.48,0.55,0.42
Gambia,0.49,0.55,0.47,0.39,0.5,0.69,0.37,0.51,0.4
India,0.49,0.55,0.4,0.59,0.45,0.64,0.48,0.42,0.39
Suriname,0.49,0.49,0.44,0.39,0.52,0.65,0.46,0.49,0.52
Tunisia,0.49,0.48,0.47,0.44,0.46,0.72,0.48,0.47,0.4
China,0.48,0.32,0.55,0.41,0.25,0.81,0.51,0.53,0.45
Morocco,0.48,0.51,0.42,0.42,0.43,0.69,0.49,0.51,0.38
Peru,0.48,0.57,0.33,0.52,0.58,0.61,0.47,0.41,0.32
Ukraine,0.48,0.46,0.33,0.56,0.57,0.62,0.43,0.53,0.37
Benin,0.47,0.49,0.4,0.38,0.51,0.68,0.47,0.43,0.41
Colombia,0.47,0.49,0.39,0.61,0.5,0.5,0.52,0.45,0.31
Serbia,0.47,0.32,0.39,0.44,0.55,0.76,0.43,0.46,0.37
Ecuador,0.46,0.5,0.36,0.52,0.52,0.57,0.45,0.43,0.3
Philippines,0.46,0.49,0.43,0.46,0.42,0.68,0.46,0.44,0.31
Tanzania,0.46,0.49,0.4,0.37,0.43,0.7,0.46,0.47,0.36
Burkina Faso,0.45,0.48,0.43,0.44,0.49,0.41,0.46,0.43,0.47
Kenya,0.45,0.47,0.26,0.5,0.48,0.55,0.45,0.5,0.39
Kyrgyzstan,0.45,0.42,0.29,0.48,0.44,0.76,0.4,0.47,0.32
Paraguay,0.45,0.48,0.28,0.56,0.5,0.69,0.45,0.4,0.26
Zambia,0.45,0.46,0.36,0.41,0.4,0.68,0.42,0.47,0.41
Belarus,0.44,0.26,0.49,0.3,0.33,0.81,0.43,0.55,0.38
Côte d'Ivoire,0.44,0.37,0.34,0.35,0.45,0.67,0.51,0.5,0.36
Guatemala,0.44,0.49,0.35,0.52,0.53,0.59,0.41,0.33,0.3
Lebanon,0.44,0.49,0.37,0.45,0.47,0.59,0.44,0.4,0.32
Liberia,0.44,0.5,0.31,0.46,0.51,0.61,0.41,0.41,0.33
Sierra Leone,0.44,0.47,0.36,0.38,0.49,0.66,0.36,0.41,0.37
Madagascar,0.43,0.41,0.27,0.44,0.46,0.71,0.4,0.43,0.33
Togo,0.43,0.34,0.42,0.3,0.42,0.69,0.5,0.46,0.34
Angola,0.42,0.4,0.43,0.39,0.37,0.58,0.43,0.43,0.34
El Salvador,0.42,0.35,0.34,0.42,0.41,0.71,0.45,0.47,0.2
Niger,0.42,0.37,0.39,0.34,0.44,0.56,0.46,0.43,0.35
Guinea,0.41,0.37,0.3,0.36,0.48,0.72,0.36,0.38,0.31
Honduras,0.41,0.37,0.31,0.44,0.46,0.64,0.39,0.4,0.27
Nigeria,0.41,0.48,0.33,0.41,0.42,0.36,0.4,0.45,0.39
Russia,0.41,0.31,0.41,0.44,0.35,0.52,0.45,0.49,0.29
Turkey,0.41,0.28,0.44,0.39,0.3,0.71,0.41,0.4,0.34
Republic of the Congo,0.4,0.36,0.31,0.32,0.39,0.62,0.43,0.44,0.34
Gabon,0.4,0.32,0.26,0.38,0.44,0.65,0.46,0.4,0.3
Mexico,0.4,0.41,0.27,0.56,0.47,0.5,0.42,0.35,0.25
Bangladesh,0.39,0.37,0.34,0.41,0.3,0.63,0.39,0.36,0.32
Mali,0.39,0.4,0.31,0.43,0.45,0.37,0.46,0.39,0.28
Zimbabwe,0.39,0.32,0.31,0.32,0.33,0.68,0.36,0.46,0.35
Iran,0.38,0.32,0.38,0.27,0.2,0.61,0.43,0.51,0.34
Uganda,0.38,0.37,0.26,0.38,0.34,0.59,0.41,0.41,0.3
Bolivia,0.37,0.34,0.23,0.45,0.44,0.6,0.37,0.3,0.19
Mozambique,0.37,0.39,0.33,0.35,0.38,0.44,0.38,0.41,0.3
Pakistan,0.37,0.43,0.31,0.39,0.35,0.36,0.39,0.38,0.35
Cameroon,0.36,0.37,0.25,0.35,0.35,0.48,0.41,0.42,0.23
Ethiopia,0.36,0.31,0.4,0.3,0.27,0.52,0.35,0.4,0.34
Mauritania,0.36,0.34,0.31,0.29,0.37,0.64,0.29,0.4,0.27
Egypt,0.35,0.23,0.38,0.23,0.23,0.65,0.35,0.37,0.34
Democratic Republic of the Congo,0.34,0.39,0.17,0.33,0.39,0.44,0.35,0.35,0.28
Myanmar,0.34,0.25,0.4,0.28,0.18,0.6,0.41,0.33,0.23
Sudan,0.34,0.25,0.32,0.33,0.3,0.5,0.33,0.35,0.32
Nicaragua,0.33,0.22,0.29,0.3,0.28,0.69,0.34,0.28,0.25
Haiti,0.32,0.34,0.24,0.33,0.42,0.43,0.26,0.33,0.24
Afghanistan,0.31,0.34,0.29,0.31,0.24,0.37,0.35,0.32,0.24
Cambodia,0.31,0.24,0.23,0.23,0.32,0.66,0.27,0.26,0.27
Venezuela,0.26,0.18,0.26,0.27,0.28,0.53,0.2,0.26,0.11
